desig7,nm,Tipo,micro,bairro,d1,cf,le,lat,lon
0005016,CP ASSOCIAÇÃO EDUCACIONAL E CULTURAL SÃO BERNARDO - CSB,Creche Parceira,5.13,Rocha Miranda,206,98,28,-22.85562,-43.35253
0006001,CP ESCOLA PATRONATO NOSSA SENHORA DE NAZARÉ,Creche Parceira,6.12,Anchieta,99,61,0,-22.82191,-43.39912
0006002,CP CRECHE GUADALUPE,Creche Parceira,6.10,Guadalupe,122,85,13,-22.83417,-43.37066
0006003,CP CRECHE NOSSO LAR,Creche Parceira,6.12,Anchieta,122,74,16,-22.82355,-43.40247
0006004,CP CENTRO COMUNITÁRIO PARQUE UNIDOS DE ACARI,Creche Parceira,6.2,Acari,69,52,7,-22.82067,-43.34701
0006005,CP CRECHE DON GUANELLA,Creche Parceira,6.12,Anchieta,49,44,0,-22.81704,-43.39683
0006006,CP CRECHE ESCOLA COMUNITÁRIA TIO PATINHAS,Creche Parceira,6.19,Acari,41,41,6,-22.82359,-43.34934
0006007,CP CRECHE ABRINDO PORTAS,Creche Parceira,6.19,Acari,58,78,0,-22.82279,-43.34669
0006009,CP CENTRO EDUCACIONAL NOSSA SENHORA APARECIDA,Creche Parceira,6.12,Anchieta,167,191,0,-22.82196,-43.39753
0006012,CP ASSOCIAÇÃO CRESCÊNCIO,Creche Parceira,6.16,Guadalupe,124,70,16,-22.84617,-43.36729
0006013,CP CRECHE COMUNITÁRIA AQUARELA,Creche Parceira,6.17,Parque Anchieta,157,54,31,-22.83706,-43.41045
0006015,CP AEMMAC - PAVUNA,Creche Parceira,6.4,Pavuna,279,211,11,-22.80827,-43.36969
0006016,CP CRECHE NOSSO LAR II,Creche Parceira,6.13,Ricardo de Albuquerque,139,113,35,-22.83996,-43.398
0006017,CP CRECHE JOÃO E MARIA,Creche Parceira,6.16,Guadalupe,160,25,51,-22.84816,-43.37781
0007001,CP CRECHE NOVO PALMARES,Creche Parceira,7.25,Vargem Pequena,116,70,29,-22.98963,-43.46062
0007002,CP CRECHE CANTINHO FELIZ,Creche Parceira,7.29,Vargem Grande,77,74,1,-22.99539,-43.49488
0007003,CP CRECHE ESCOLA MÃE ASTÉRIA,Creche Parceira,7.4,Taquara / Jacarepaguá,387,170,223,-22.91192,-43.4059
0007004,CP CASA EMILIEN LACAY,Creche Parceira,7.14,Freguesia / Jacarepaguá,85,91,3,-22.93948,-43.35402
0007007,CP SEMENTE DE AMOR,Creche Parceira,7.14,Freguesia / Jacarepaguá,88,68,5,-22.94353,-43.35555
0007008,CP CRECHE SÃO PAULO APÓSTOLO,Creche Parceira,7.3,Mato Alto / Jacarepaguá,28,24,14,-22.90428,-43.35496
0007010,CP CRECHE NOVA ESPERANÇA,Creche Parceira,7.7,Freguesia / Jacarepaguá,50,48,0,-22.94445,-43.34162
0007011,CP CRECHE RITA ALEXANDRINA FERREIRA,Creche Parceira,7.29,Recreio dos Bandeirantes,91,90,0,-23.0096,-43.46302
0007013,CP ESPAÇO DE EDUCAÇÃO INFANTIL CIDADE DE DEUS,Creche Parceira,7.12,Cidade de Deus / Jacarepaguá,232,76,322,-22.95235,-43.36266
0007014,CP CENTRO INTEGRADO SÃO JOSÉ,Creche Parceira,7.14,Cidade de Deus / Jacarepaguá,203,68,270,-22.94726,-43.36008
0007015,CP CRECHE CANTINHO FELIZ II,Creche Parceira,7.25,Vargem Grande,170,133,11,-22.98393,-43.49695
0007017,CP CRECHE RAIMUNDA NONATA DA SILVA,Creche Parceira,7.29,Recreio dos Bandeirantes,53,49,0,-23.01089,-43.47622
0007018,CP CRECHE SANT ANA IRMÃ ANCILA,Creche Parceira,7.5,Jacarepaguá,83,113,0,-22.9138,-43.3644
